"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"USA","381","0.273314","298","83","0.218"
"CHINA","177","0.126973","143","34","0.192"
"UNITED KINGDOM","79","0.056671","52","27","0.342"
"GERMANY","72","0.051650","46","26","0.361"
"CANADA","64","0.045911","43","21","0.328"
"INDIA","60","0.043042","50","10","0.167"
"JAPAN","60","0.043042","47","13","0.217"
"ITALY","53","0.038020","41","12","0.226"
"IRAN","38","0.027260","33","5","0.132"
"AUSTRALIA","29","0.020803","17","12","0.414"
"POLAND","29","0.020803","22","7","0.241"
"SPAIN","29","0.020803","15","14","0.483"
"FRANCE","27","0.019369","14","13","0.481"
"BRAZIL","20","0.014347","15","5","0.250"
"NETHERLANDS","19","0.013630","11","8","0.421"
"KOREA","18","0.012912","15","3","0.167"
"TAIWAN","18","0.012912","13","5","0.278"
"ISRAEL","15","0.010760","12","3","0.200"
"BELGIUM","12","0.008608","8","4","0.333"
"HUNGARY","12","0.008608","7","5","0.417"
"SOUTH AFRICA","12","0.008608","8","4","0.333"
"GREECE","11","0.007891","9","2","0.182"
"SWEDEN","11","0.007891","8","3","0.273"
"TURKEY","11","0.007891","9","2","0.182"
"JORDAN","9","0.006456","6","3","0.333"
"SWITZERLAND","9","0.006456","5","4","0.444"
"ALGERIA","8","0.005739","4","4","0.500"
"AUSTRIA","8","0.005739","4","4","0.500"
"MALAYSIA","7","0.005022","4","3","0.429"
"DENMARK","6","0.004304","6","0","0.000"
"EGYPT","6","0.004304","5","1","0.167"
"FINLAND","6","0.004304","5","1","0.167"
"NEW ZEALAND","6","0.004304","5","1","0.167"
"MEXICO","5","0.003587","3","2","0.400"
"PORTUGAL","5","0.003587","1","4","0.800"
"ROMANIA","5","0.003587","4","1","0.200"
"SINGAPORE","5","0.003587","2","3","0.600"
"BANGLADESH","4","0.002869","3","1","0.250"
"CZECH REPUBLIC","4","0.002869","3","1","0.250"
"IRELAND","4","0.002869","2","2","0.500"
"KUWAIT","4","0.002869","4","0","0.000"
"NORWAY","4","0.002869","2","2","0.500"
"UKRAINE","4","0.002869","3","1","0.250"
"HONG KONG","3","0.002152","0","3","1.000"
"INDONESIA","3","0.002152","3","0","0.000"
"SLOVAKIA","3","0.002152","2","1","0.333"
"LATVIA","2","0.001435","1","1","0.500"
"LUXEMBOURG","2","0.001435","0","2","1.000"
"PAKISTAN","2","0.001435","0","2","1.000"
"SERBIA","2","0.001435","1","1","0.500"
"ARGENTINA","1","0.000717","1","0","0.000"
"ARMENIA","1","0.000717","1","0","0.000"
"CHILE","1","0.000717","0","1","1.000"
"COLOMBIA","1","0.000717","0","1","1.000"
"CYPRUS","1","0.000717","0","1","1.000"
"IRAQ","1","0.000717","0","1","1.000"
"LITHUANIA","1","0.000717","1","0","0.000"
"PARAGUAY","1","0.000717","1","0","0.000"
"SAUDI ARABIA","1","0.000717","1","0","0.000"
"THAILAND","1","0.000717","1","0","0.000"
"TUNISIA","1","0.000717","0","1","1.000"